=======================================================================================
2020
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
19,Jimmy Harrell\jimmy-harrell-1,,,,,1,10,10.0,0,1,10,10.0,0
=======================================================================================
1983
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Keith Montgomery\keith-montgomery-1,120,519,4.3,7,5,37,7.4,1,125,556,4.4,8
2,Barry Young\barry-young-1,115,502,4.4,4,4,37,9.3,0,119,539,4.5,4
3,David McCluskey\david-mccluskey-1,92,362,3.9,5,1,9,9.0,0,93,371,4.0,5
4,John Lastinger\john-lastinger-1,83,330,4.0,2,,,,,83,330,4.0,2
5,Todd Williams\todd-williams-2,51,213,4.2,1,,,,,51,213,4.2,1
6,Tron Jackson\tron-jackson-1,44,305,6.9,3,8,115,14.4,0,52,420,8.1,3
7,Scott Williams\scott-williams-3,41,158,3.9,0,4,26,6.5,0,45,184,4.1,0
8,Melvin Simmons\melvin-simmons-2,14,44,3.1,0,,,,,14,44,3.1,0
9,Fred Lane\fred-lane-1,4,78,19.5,0,8,111,13.9,0,12,189,15.8,0
10,Andre Smith\andre-smith-4,4,25,6.3,0,,,,,4,25,6.3,0
11,Walt Norley\walt-norley-1,1,6,6.0,0,,,,,1,6,6.0,0
12,Chip Andrews\chip-andrews-1,1,-14,-14.0,0,,,,,1,-14,-14.0,0
13,Herman Archie\herman-archie-1,,,,,31,355,11.5,2,31,355,11.5,2
14,Clarence Kay\clarence-kay-1,,,,,17,247,14.5,2,17,247,14.5,2
15,Jamie Wisham\jamie-wisham-1,,,,,12,174,14.5,0,12,174,14.5,0
16,Kevin Harris\kevin-harris-2,,,,,6,69,11.5,1,6,69,11.5,1
17,Jimmy Hockaday\jimmy-hockaday-1,,,,,3,83,27.7,1,3,83,27.7,1
18,Tyrone Sorrels\tyrone-sorrels-1,,,,,1,6,6.0,0,1,6,6.0,0
=======================================================================================
1982
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Herschel Walker\herschel-walker-1,335,1752,5.2,16,5,89,17.8,1,340,1841,5.4,17
