===================================================================================================================================
2020
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Richard Lecounte III\richard-lecounte-iii-1,45,29,74,1.0,0.0,1,29,29.0,0,3,2,,,2
2,J.R. Reed\jr-reed-3,38,28,66,2.0,1.0,2,0,0.0,0,2,,,,
3,Monty Rice\monty-rice-2,25,34,59,1.5,1.0,,,,,1,,,,1
4,Jonathan Ledbetter\jonathan-ledbetter-1,15,41,56,6.5,1.0,,,,,,,,,2
5,Tae Crowder\tae-crowder-1,18,35,53,6.0,1.5,2,56,28.0,0,1,1,,,1
6,Juwan Taylor\juwan-taylor-1,26,26,52,0.5,0.0,,1,,1,1,1,,,2
7,D'Andre Walker\dandre-walker-1,23,22,45,11.0,7.5,,,,,3,1,,,4
8,Tyson Campbell\tyson-campbell-1,29,16,45,0.5,0.0,,,,,1,2,,1,1
9,Natrez Patrick\natrez-patrick-1,25,19,44,4.5,0.0,,,,,1,,,,
10,Deandre Baker\deandre-baker-1,31,9,40,2.0,0.0,2,81,40.5,0,9,,,,1
11,Tyler Clark\tyler-clark-3,15,16,31,4.0,1.0,,,,,3,1,,,0
12,Julian Rochester\julian-rochester-1,10,21,31,2.5,1.5,,,,,,,,,
13,Jordan Davis\jordan-davis-3,6,19,25,1.5,1.5,,,,,,,,,
14,Tyrique McGhee\tyrique-mcghee-1,11,12,23,0.5,0.0,1,2,2.0,0,2,,,,1
15,Malik Herring\malik-herring-1,10,13,23,3.5,1.5,,,,,,,,,1
16,Walter Grant\walter-grant-4,9,12,21,1.0,0.0,,,,,1,,,,
17,Brenton Cox\brenton-cox-1,7,13,20,2.0,1.0,,,,,3,,,,
18,Eric Stokes\eric-stokes-2,16,4,20,1.0,0.0,,,,,9,,,,
19,Devonte Wyatt\devonte-wyatt-1,8,11,19,1.5,1.5,,,,,1,,,,
20,Channing Tindall\channing-tindall-1,3,14,17,3.0,2.0,,,,,,,,,
21,Adam Anderson\adam-anderson-2,6,10,16,2.5,0.5,,,,,1,,,,
22,Robert Beal\robert-beal-1,7,8,15,1.0,1.0,,,,,,,,,1
23,Michael Barnett\michael-barnett-1,6,8,14,0.0,0.0,,,,,1,,,,
24,Mark Webb\mark-webb-1,8,6,14,0.0,0.0,,,,,3,,,,
25,Otis Reese\otis-reese-1,7,6,13,0.0,0.0,,,,,,,,,
26,William Poole\william-poole-1,9,1,10,1.0,0.0,,,,,,,,,
27,Deangelo Gibbs\deangelo-gibbs-1,1,6,7,0.0,0.0,,,,,,,,,
28,David Marshall\david-marshall-1,0,6,6,1.0,0.0,,,,,1,,,,
29,Quay Walker\quay-walker-1,4,2,6,0.0,0.0,,,,,,,,,
30,Michail Carter\michail-carter-1,1,3,4,0.0,0.0,,,,,,,,,
31,DaQuan Hawkins\daquan-hawkins-1,2,2,4,0.0,0.0,,,,,,,,,
32,Azeez Ojulari\azeez-ojulari-1,3,1,4,1.0,0.0,,,,,,,,,
33,Keyon Richardson\keyon-richardson-1,1,3,4,1.5,0.5,,,,,,,,,
34,Christopher Smith\christopher-smith-1,3,1,4,0.0,0.0,,,,,,,,,
35,Divaad Wilson\divaad-wilson-1,2,2,4,1.0,0.0,,,,,1,,,,
36,Jay Hayes\jay-hayes-1,1,2,3,0.0,0.0,,,,,,,,,
37,Nate McBridge\nate-mcbridge-1,1,2,3,0.0,0.0,,,,,,,,,
38,Jeremiah Holloman\jeremiah-holloman-1,2,0,2,0.0,0.0,,,,,,,,,
39,Jayson Stanley\jayson-stanley-1,1,1,2,0.0,0.0,,,,,,,,,
40,Rodrigo Blankenship\rodrigo-blankenship-1,1,0,1,0.0,0.0,,,,,,,,,
41,Latavious Brini\latavious-brini-1,1,0,1,0.0,0.0,,,,,,,,,
42,James Cook\james-cook-2,0,1,1,0.0,0.0,,,,,,,,,
43,Elijah Holyfield\elijah-holyfield-1,1,0,1,0.0,0.0,,,,,,,,,
44,Prather Hudson\prather-hudson-1,1,0,1,0.0,0.0,,,,,,,,,
45,Nick Moore\nick-moore-4,0,1,1,0.0,0.0,,,,,,,,,
46,Tyler Simmons\tyler-simmons-2,1,0,1,0.0,0.0,,,,,,,,,
47,Jake Skole\jake-skole-1,0,1,1,0.0,0.0,,,,,,,,,
48,Ameer Sped\ameer-sped-1,0,1,1,0.0,0.0,,,,,,,,,
49,D'Andre Swift\dandre-swift-1,1,0,1,0.0,0.0,,,,,,,,,
50,Charlie Woerner\charlie-woerner-1,0,1,1,0.0,0.0,,,,,,,,,
51,Kolby Wyatt\kolby-wyatt-1,0,1,1,0.0,0.0,,,,,,,,,
52,Justin Young\justin-young-2,1,0,1,0.0,0.0,,,,,,,,,
53,Isaac Nauta\isaac-nauta-1,,,,0.0,0.0,,,,,1,1,,,0
===================================================================================================================================
2017
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Roquan Smith\roquan-smith-1,85,52,137,14.0,6.5,,,,,2,2,,,1
2,J.R. Reed\jr-reed-3,40,39,79,5.0,1.5,2,48,24.0,0,5,2,,1,1
3,Lorenzo Carter\lorenzo-carter-1,31,31,62,8.5,4.5,,,,,,3,,,3
4,Deandre Baker\deandre-baker-1,30,14,44,1.0,0.0,3,37,12.3,0,9,,,,
5,Aaron Davis\aaron-davis-8,30,13,43,3.0,1.5,1,0,0.0,0,4,,,,1
6,Tyler Clark\tyler-clark-3,18,23,41,6.0,2.5,,,,,,,,,
7,Dominick Sanders\dominick-sanders-1,23,17,40,3.5,0.0,4,85,21.3,0,5,,,,
8,D'Andre Walker\dandre-walker-1,26,13,39,13.5,5.5,,,,,1,,,,1
9,John Atkins\john-atkins-1,17,21,38,1.0,0.0,,,,,1,1,,,0
10,Jonathan Ledbetter\jonathan-ledbetter-1,18,20,38,5.5,2.5,,,,,,,,,
11,Trenton Thompson\trenton-thompson-1,20,18,38,3.5,0.0,,,,,1,,,,
12,Reggie Carter\reggie-carter-5,12,24,36,3.5,0.5,,,,,1,,,,
13,Natrez Patrick\natrez-patrick-1,13,22,35,2.5,0.0,,,,,,,,,
14,Davin Bellamy\davin-bellamy-1,16,18,34,7.5,5.0,,,,,3,,,,2
15,Malkom Parrish\malkom-parrish-1,23,4,27,1.0,0.0,1,3,3.0,0,3,,,,
16,David Marshall\david-marshall-1,13,13,26,2.5,1.0,,,,,1,,,,
17,Tyrique McGhee\tyrique-mcghee-1,13,10,23,0.5,0.5,1,0,0.0,0,6,,,,1
18,Monty Rice\monty-rice-2,10,12,22,2.0,0.0,,,,,,,,,
19,Julian Rochester\julian-rochester-1,9,13,22,2.5,2.0,,,,,,,,,
20,Richard Lecounte III\richard-lecounte-iii-1,10,5,15,0.0,0.0,,,,,,,,,
21,Juwan Taylor\juwan-taylor-1,4,9,13,1.0,0.0,,,,,,,,,
22,Walter Grant\walter-grant-4,5,4,9,2.5,0.5,,,,,,,,,
23,Tae Crowder\tae-crowder-1,3,4,7,0.0,0.0,,,,,,,,,
24,Nate McBridge\nate-mcbridge-1,4,3,7,0.0,0.0,,,,,,,,,
25,Michail Carter\michail-carter-1,4,2,6,1.0,0.0,,,,,,,,,
26,Michael Barnett\michael-barnett-1,4,1,5,0.0,0.0,,,,,,,,,
27,Mecole Hardman\mecole-hardman-1,4,1,5,0.0,0.0,,,,,,,,,
28,Malik Herring\malik-herring-1,0,5,5,0.0,0.0,,,,,,,,,
29,Ameer Sped\ameer-sped-1,5,0,5,0.0,0.0,,,,,1,,,,
30,Jarvis Wilson\jarvis-wilson-2,3,2,5,1.0,0.0,,,,,,,,,
31,Keyon Brown\keyon-brown-2,3,1,4,0.0,0.0,,,,,,,,,
32,Trent Frix\trent-frix-1,2,2,4,0.0,0.0,,,,,,,,,
33,Christian Payne\christian-payne-1,3,1,4,0.0,0.0,,,,,,,,,
34,Jake Fromm\jake-fromm-1,3,0,3,0.0,0.0,,,,,,,,,
35,Deangelo Gibbs\deangelo-gibbs-1,1,2,3,0.0,0.0,,,,,,,,,
36,Prather Hudson\prather-hudson-1,2,1,3,0.0,0.0,,,,,,,,,
37,Jayson Stanley\jayson-stanley-1,3,0,3,0.0,0.0,,,,,,,,,
38,Brian Herrien\brian-herrien-1,1,1,2,0.0,0.0,,,,,,,,,
39,Tyler Simmons\tyler-simmons-2,1,1,2,0.0,0.0,,,,,,,,,
40,Charlie Woerner\charlie-woerner-1,1,1,2,0.0,0.0,,,,,,,,,
41,Aulden Bynum\aulden-bynum-1,1,0,1,0.0,0.0,,,,,,,,,
